4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '2'] , 56043247
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '2'] , 225111060
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 856
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 1078
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 5375
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 3012
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 7915
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 16860
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 27288
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 41397
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 82380
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 170349
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 856
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 883
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 1709
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 4208
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 6674
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 39870
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 26515
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 52997
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 198606
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 317610
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 856
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 1524
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 10425
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 42572
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 92788
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '3'] , 332912
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '3'] , 3216232
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '3'] , 12889647
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '3'] , 52185560
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '3'] , 209349594
16x16 , 256 , ['sepia'] , ['c'] , 9500
32x16 , 512 , ['sepia'] , ['c'] , 6800
64x16 , 1024 , ['sepia'] , ['c'] , 32977
128x16 , 2048 , ['sepia'] , ['c'] , 21885
256x16 , 4096 , ['sepia'] , ['c'] , 58335
512x16 , 8192 , ['sepia'] , ['c'] , 116626
1024x16 , 16384 , ['sepia'] , ['c'] , 194300
2048x16 , 32768 , ['sepia'] , ['c'] , 498982
4096x16 , 65536 , ['sepia'] , ['c'] , 623436
8192x16 , 131072 , ['sepia'] , ['c'] , 1303730
16x16 , 256 , ['sepia'] , ['c'] , 9500
16x32 , 512 , ['sepia'] , ['c'] , 5027
16x64 , 1024 , ['sepia'] , ['c'] , 10097
16x128 , 2048 , ['sepia'] , ['c'] , 25204
16x256 , 4096 , ['sepia'] , ['c'] , 40300
16x512 , 8192 , ['sepia'] , ['c'] , 202767
16x1024 , 16384 , ['sepia'] , ['c'] , 162297
16x2048 , 32768 , ['sepia'] , ['c'] , 324947
16x4096 , 65536 , ['sepia'] , ['c'] , 1027575
16x8192 , 131072 , ['sepia'] , ['c'] , 1500988
16x16 , 256 , ['sepia'] , ['c'] , 9500
32x32 , 1024 , ['sepia'] , ['c'] , 9936
64x64 , 4096 , ['sepia'] , ['c'] , 73382
128x128 , 16384 , ['sepia'] , ['c'] , 312446
256x256 , 65536 , ['sepia'] , ['c'] , 625479
512x512 , 262144 , ['sepia'] , ['c'] , 2344832
1024x1024 , 1048576 , ['sepia'] , ['c'] , 9652681
2048x2048 , 4194304 , ['sepia'] , ['c'] , 38756350
4096x4096 , 16777216 , ['sepia'] , ['c'] , 155050338
8192x8192 , 67108864 , ['sepia'] , ['c'] , 620408637
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2867
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 3028
64x16 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 14533
128x16 , 2048 , ['sepia'] , ['asm'  '-j'  '1'] , 9645
256x16 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 22490
512x16 , 8192 , ['sepia'] , ['asm'  '-j'  '1'] , 33506
1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 74962
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 120027
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 240235
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 497739
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2867
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 2230
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 4418
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '1'] , 11042
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 15277
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '1'] , 126828
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 60989
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 122453
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 368105
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 496212
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2867
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 4382
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 28175
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 112488
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 240853
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '1'] , 1453935
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '1'] , 4039807
2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '1'] , 16046868
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '1'] , 64131203
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '1'] , 256915941
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 2016
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 1580
64x16 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 9250
128x16 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 7127
256x16 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 16015
512x16 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 32120
1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 53396
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 85306
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 170962
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 341770
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 2016
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 1586
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 3127
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 7771
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 10680
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 45743
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 42659
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 85482
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 256980
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 354361
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 2016
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 3106
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 20012
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 79782
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 171147
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '2'] , 869808
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '2'] , 3586559
