16x16 , 256 , ['cropflip'] , ['c'] , 1800
32x16 , 512 , ['cropflip'] , ['c'] , 3525
64x16 , 1024 , ['cropflip'] , ['c'] , 6611
128x16 , 2048 , ['cropflip'] , ['c'] , 3953
256x16 , 4096 , ['cropflip'] , ['c'] , 10675
512x16 , 8192 , ['cropflip'] , ['c'] , 13497
1024x16 , 16384 , ['cropflip'] , ['c'] , 26712
2048x16 , 32768 , ['cropflip'] , ['c'] , 56836
4096x16 , 65536 , ['cropflip'] , ['c'] , 110044
8192x16 , 131072 , ['cropflip'] , ['c'] , 272059
16x16 , 256 , ['cropflip'] , ['c'] , 1800
16x32 , 512 , ['cropflip'] , ['c'] , 918
16x64 , 1024 , ['cropflip'] , ['c'] , 1800
16x128 , 2048 , ['cropflip'] , ['c'] , 6275
16x256 , 4096 , ['cropflip'] , ['c'] , 8421
16x512 , 8192 , ['cropflip'] , ['c'] , 19270
16x1024 , 16384 , ['cropflip'] , ['c'] , 28494
16x2048 , 32768 , ['cropflip'] , ['c'] , 67736
16x4096 , 65536 , ['cropflip'] , ['c'] , 141170
16x8192 , 131072 , ['cropflip'] , ['c'] , 423231
16x16 , 256 , ['cropflip'] , ['c'] , 1800
32x32 , 1024 , ['cropflip'] , ['c'] , 2025
64x64 , 4096 , ['cropflip'] , ['c'] , 11135
128x128 , 16384 , ['cropflip'] , ['c'] , 28336
256x256 , 65536 , ['cropflip'] , ['c'] , 126494
512x512 , 262144 , ['cropflip'] , ['c'] , 451600
1024x1024 , 1048576 , ['cropflip'] , ['c'] , 3377261
2048x2048 , 4194304 , ['cropflip'] , ['c'] , 13322794
4096x4096 , 16777216 , ['cropflip'] , ['c'] , 57545222
8192x8192 , 67108864 , ['cropflip'] , ['c'] , 214986598
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '1'] , 409
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '1'] , 553
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '1'] , 727
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '1'] , 1156
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '1'] , 3328
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '1'] , 4759
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '1'] , 9397
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '1'] , 35995
