16x16 ,256, ['cropflip'] , ['asm'  '-j'  '3'] ,1147
32x16 ,512, ['cropflip'] , ['asm'  '-j'  '3'] ,1080
64x16 ,1024, ['cropflip'] , ['asm'  '-j'  '3'] ,4026
128x16 ,2048, ['cropflip'] , ['asm'  '-j'  '3'] ,7722
256x16 ,4096, ['cropflip'] , ['asm'  '-j'  '3'] ,15130
512x16 ,8192, ['cropflip'] , ['asm'  '-j'  '3'] ,29898
1024x16 ,16384, ['cropflip'] , ['asm'  '-j'  '3'] ,24105
2048x16 ,32768, ['cropflip'] , ['asm'  '-j'  '3'] ,104750
4096x16 ,65536, ['cropflip'] , ['asm'  '-j'  '3'] ,113048
8192x16 ,131072, ['cropflip'] , ['asm'  '-j'  '3'] ,260239
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '3'] ,1147
16x32 ,512, ['cropflip'] , ['asm'  '-j'  '3'] ,2442
16x64 ,1024, ['cropflip'] , ['asm'  '-j'  '3'] ,2052
16x128 ,2048, ['cropflip'] , ['asm'  '-j'  '3'] ,6336
16x256 ,4096, ['cropflip'] , ['asm'  '-j'  '3'] ,9340
16x512 ,8192, ['cropflip'] , ['asm'  '-j'  '3'] ,35863
16x1024 ,16384, ['cropflip'] , ['asm'  '-j'  '3'] ,31899
16x2048 ,32768, ['cropflip'] , ['asm'  '-j'  '3'] ,143847
16x4096 ,65536, ['cropflip'] , ['asm'  '-j'  '3'] ,248721
16x8192 ,131072, ['cropflip'] , ['asm'  '-j'  '3'] ,248502
16x16 ,256, ['cropflip'] , ['asm'  '-j'  '3'] ,1147
32x32 ,1024, ['cropflip'] , ['asm'  '-j'  '3'] ,2320
64x64 ,4096, ['cropflip'] , ['asm'  '-j'  '3'] ,13074
128x128 ,16384, ['cropflip'] , ['asm'  '-j'  '3'] ,60868
256x256 ,65536, ['cropflip'] , ['asm'  '-j'  '3'] ,237814
512x512 ,262144, ['cropflip'] , ['asm'  '-j'  '3'] ,420687
1024x1024 ,1048576, ['cropflip'] , ['asm'  '-j'  '3'] ,2079639
2048x2048 ,4194304, ['cropflip'] , ['asm'  '-j'  '3'] ,9097821
4096x4096 ,16777216, ['cropflip'] , ['asm'  '-j'  '3'] ,36961485
8192x8192 ,67108864, ['cropflip'] , ['asm'  '-j'  '3'] ,147657411
16x16 ,256, ['sepia'] , ['c'] ,6278
32x16 ,512, ['sepia'] , ['c'] ,12292
64x16 ,1024, ['sepia'] , ['c'] ,24543
128x16 ,2048, ['sepia'] , ['c'] ,26820
256x16 ,4096, ['sepia'] , ['c'] ,95931
512x16 ,8192, ['sepia'] , ['c'] ,191985
1024x16 ,16384, ['sepia'] , ['c'] ,384235
2048x16 ,32768, ['sepia'] , ['c'] ,397004
4096x16 ,65536, ['sepia'] , ['c'] ,665427
8192x16 ,131072, ['sepia'] , ['c'] ,1358004
16x16 ,256, ['sepia'] , ['c'] ,6278
16x32 ,512, ['sepia'] , ['c'] ,8660
16x64 ,1024, ['sepia'] , ['c'] ,24841
16x128 ,2048, ['sepia'] , ['c'] ,34447
16x256 ,4096, ['sepia'] , ['c'] ,99487
16x512 ,8192, ['sepia'] , ['c'] ,200104
16x1024 ,16384, ['sepia'] , ['c'] ,194272
16x2048 ,32768, ['sepia'] , ['c'] ,346872
16x4096 ,65536, ['sepia'] , ['c'] ,694233
16x8192 ,131072, ['sepia'] , ['c'] ,1389387
16x16 ,256, ['sepia'] , ['c'] ,6278
32x32 ,1024, ['sepia'] , ['c'] ,13580
64x64 ,4096, ['sepia'] , ['c'] ,96682
128x128 ,16384, ['sepia'] , ['c'] ,324678
256x256 ,65536, ['sepia'] , ['c'] ,667089
512x512 ,262144, ['sepia'] , ['c'] ,2664477
1024x1024 ,1048576, ['sepia'] , ['c'] ,10863381
2048x2048 ,4194304, ['sepia'] , ['c'] ,43898460
4096x4096 ,16777216, ['sepia'] , ['c'] ,175335426
8192x8192 ,67108864, ['sepia'] , ['c'] ,700733874
16x16 ,256, ['sepia'] , ['asm'  '-j'  '1'] ,2862
32x16 ,512, ['sepia'] , ['asm'  '-j'  '1'] ,5478
64x16 ,1024, ['sepia'] , ['asm'  '-j'  '1'] ,10832
128x16 ,2048, ['sepia'] , ['asm'  '-j'  '1'] ,21689
256x16 ,4096, ['sepia'] , ['asm'  '-j'  '1'] ,37174
512x16 ,8192, ['sepia'] , ['asm'  '-j'  '1'] ,74679
1024x16 ,16384, ['sepia'] , ['asm'  '-j'  '1'] ,148748
2048x16 ,32768, ['sepia'] , ['asm'  '-j'  '1'] ,164108
4096x16 ,65536, ['sepia'] , ['asm'  '-j'  '1'] ,257682
8192x16 ,131072, ['sepia'] , ['asm'  '-j'  '1'] ,515469
16x16 ,256, ['sepia'] , ['asm'  '-j'  '1'] ,2862
16x32 ,512, ['sepia'] , ['asm'  '-j'  '1'] ,5552
16x64 ,1024, ['sepia'] , ['asm'  '-j'  '1'] ,11146
16x128 ,2048, ['sepia'] , ['asm'  '-j'  '1'] ,22027
16x256 ,4096, ['sepia'] , ['asm'  '-j'  '1'] ,37835
16x512 ,8192, ['sepia'] , ['asm'  '-j'  '1'] ,75677
16x1024 ,16384, ['sepia'] , ['asm'  '-j'  '1'] ,109537
16x2048 ,32768, ['sepia'] , ['asm'  '-j'  '1'] ,156720
16x4096 ,65536, ['sepia'] , ['asm'  '-j'  '1'] ,359920
16x8192 ,131072, ['sepia'] , ['asm'  '-j'  '1'] ,526005
16x16 ,256, ['sepia'] , ['asm'  '-j'  '1'] ,2862
32x32 ,1024, ['sepia'] , ['asm'  '-j'  '1'] ,4869
64x64 ,4096, ['sepia'] , ['asm'  '-j'  '1'] ,37273
128x128 ,16384, ['sepia'] , ['asm'  '-j'  '1'] ,148681
256x256 ,65536, ['sepia'] , ['asm'  '-j'  '1'] ,257940
512x512 ,262144, ['sepia'] , ['asm'  '-j'  '1'] ,1036902
1024x1024 ,1048576, ['sepia'] , ['asm'  '-j'  '1'] ,4314780
2048x2048 ,4194304, ['sepia'] , ['asm'  '-j'  '1'] ,17375403
4096x4096 ,16777216, ['sepia'] , ['asm'  '-j'  '1'] ,69574692
8192x8192 ,67108864, ['sepia'] , ['asm'  '-j'  '1'] ,278365320
16x16 ,256, ['sepia'] , ['asm'  '-j'  '2'] ,1996
32x16 ,512, ['sepia'] , ['asm'  '-j'  '2'] ,3902
64x16 ,1024, ['sepia'] , ['asm'  '-j'  '2'] ,7664
128x16 ,2048, ['sepia'] , ['asm'  '-j'  '2'] ,6765
256x16 ,4096, ['sepia'] , ['asm'  '-j'  '2'] ,26392
512x16 ,8192, ['sepia'] , ['asm'  '-j'  '2'] ,52990
1024x16 ,16384, ['sepia'] , ['asm'  '-j'  '2'] ,105460
2048x16 ,32768, ['sepia'] , ['asm'  '-j'  '2'] ,93777
4096x16 ,65536, ['sepia'] , ['asm'  '-j'  '2'] ,187887
8192x16 ,131072, ['sepia'] , ['asm'  '-j'  '2'] ,364956
16x16 ,256, ['sepia'] , ['asm'  '-j'  '2'] ,1996
16x32 ,512, ['sepia'] , ['asm'  '-j'  '2'] ,3918
16x64 ,1024, ['sepia'] , ['asm'  '-j'  '2'] ,7680
16x128 ,2048, ['sepia'] , ['asm'  '-j'  '2'] ,19676
16x256 ,4096, ['sepia'] , ['asm'  '-j'  '2'] ,26507
16x512 ,8192, ['sepia'] , ['asm'  '-j'  '2'] ,52866
16x1024 ,16384, ['sepia'] , ['asm'  '-j'  '2'] ,105674
16x2048 ,32768, ['sepia'] , ['asm'  '-j'  '2'] ,211530
16x4096 ,65536, ['sepia'] , ['asm'  '-j'  '2'] ,205908
16x8192 ,131072, ['sepia'] , ['asm'  '-j'  '2'] ,367122
16x16 ,256, ['sepia'] , ['asm'  '-j'  '2'] ,1996
32x32 ,1024, ['sepia'] , ['asm'  '-j'  '2'] ,4232
