4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '2'] , 65792957
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '2'] , 266746729
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 492
32x16 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 824
64x16 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 1502
128x16 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 2839
256x16 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 5517
512x16 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 11138
1024x16 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 21866
2048x16 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 45123
4096x16 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 99837
8192x16 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 199413
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 492
16x32 , 512 , ['cropflip'] , ['asm'  '-j'  '3'] , 922
16x64 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 1784
16x128 , 2048 , ['cropflip'] , ['asm'  '-j'  '3'] , 3564
16x256 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 6975
16x512 , 8192 , ['cropflip'] , ['asm'  '-j'  '3'] , 13858
16x1024 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 27651
16x2048 , 32768 , ['cropflip'] , ['asm'  '-j'  '3'] , 57209
16x4096 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 120800
16x8192 , 131072 , ['cropflip'] , ['asm'  '-j'  '3'] , 242169
16x16 , 256 , ['cropflip'] , ['asm'  '-j'  '3'] , 492
32x32 , 1024 , ['cropflip'] , ['asm'  '-j'  '3'] , 1594
64x64 , 4096 , ['cropflip'] , ['asm'  '-j'  '3'] , 5811
128x128 , 16384 , ['cropflip'] , ['asm'  '-j'  '3'] , 22199
256x256 , 65536 , ['cropflip'] , ['asm'  '-j'  '3'] , 100670
512x512 , 262144 , ['cropflip'] , ['asm'  '-j'  '3'] , 406759
1024x1024 , 1048576 , ['cropflip'] , ['asm'  '-j'  '3'] , 2142237
2048x2048 , 4194304 , ['cropflip'] , ['asm'  '-j'  '3'] , 14051375
4096x4096 , 16777216 , ['cropflip'] , ['asm'  '-j'  '3'] , 56320833
8192x8192 , 67108864 , ['cropflip'] , ['asm'  '-j'  '3'] , 228391061
16x16 , 256 , ['sepia'] , ['c'] , 4243
32x16 , 512 , ['sepia'] , ['c'] , 8199
64x16 , 1024 , ['sepia'] , ['c'] , 16169
128x16 , 2048 , ['sepia'] , ['c'] , 32243
256x16 , 4096 , ['sepia'] , ['c'] , 64302
512x16 , 8192 , ['sepia'] , ['c'] , 128741
1024x16 , 16384 , ['sepia'] , ['c'] , 257662
2048x16 , 32768 , ['sepia'] , ['c'] , 515529
4096x16 , 65536 , ['sepia'] , ['c'] , 1030681
8192x16 , 131072 , ['sepia'] , ['c'] , 2060830
16x16 , 256 , ['sepia'] , ['c'] , 4243
16x32 , 512 , ['sepia'] , ['c'] , 8311
16x64 , 1024 , ['sepia'] , ['c'] , 16688
16x128 , 2048 , ['sepia'] , ['c'] , 33405
16x256 , 4096 , ['sepia'] , ['c'] , 66984
16x512 , 8192 , ['sepia'] , ['c'] , 133704
16x1024 , 16384 , ['sepia'] , ['c'] , 267538
